date,ships_anchored
2021-07-27,62.0
2021-08-03,59.0
2021-08-10,74.0
2021-08-17,62.0
2021-08-24,68.0
2021-08-31,77.0
2021-09-07,95.0
2021-09-14,86.0
2021-09-21,93.0
2021-09-28,89.0
2021-10-05,83.0
2021-10-12,64.0
2021-10-19,66.0
2021-10-26,70.0
2021-11-02,72.0
2021-11-09,71.0
2021-11-16,73.0
2021-11-23,75.0
2021-11-30,73.0
2021-12-07,55.0
2021-12-14,26.0
2021-12-21,37.0
2021-12-28,45.0
2022-01-04,59.0
2022-01-11,56.0
2022-01-18,42.0
2022-01-25,52.0
2022-02-01,59.0
2022-02-08,66.0
2022-02-15,74.0
2022-02-22,76.0
2022-03-01,61.0
2022-03-08,69.0
2022-03-15,65.0
2022-03-22,73.0
2022-03-29,61.0
2022-04-05,63.0
2022-04-12,62.0
2022-04-19,54.0
2022-04-26,50.0
2022-05-03,49.0
2022-05-10,29.0
2022-05-17,44.0
2022-05-24,44.0
2022-05-31,55.0
2022-06-07,52.0
2022-06-14,61.0
2022-06-21,72.0
2022-06-28,75.0
2022-07-05,90.0
2022-07-12,87.0
2022-07-19,88.0
2022-07-26,96.0
2022-08-02,98.0
2022-08-09,87.0
2022-08-16,88.0
2022-08-23,92.0
2022-08-30,93.0
2022-09-06,105.0
2022-09-13,88.0
2022-09-20,88.0
2022-09-27,78.0
2022-10-04,75.0
2022-10-11,80.0
2022-10-18,73.0
2022-10-25,64.0
2022-11-01,73.0
2022-11-08,40.0
2022-11-15,55.0
2022-11-22,44.0
2022-11-29,47.0
2022-12-06,46.0
2022-12-13,47.0
2022-12-20,26.0
2022-12-27,37.0
2023-01-03,43.0
2023-01-10,37.0
2023-01-17,31.0
2023-01-24,22.0
2023-01-31,16.0
2023-02-07,19.0
2023-02-14,24.0
2023-02-21,22.0
2023-02-28,18.0
2023-03-07,10.0
2023-03-14,5.0
2023-03-21,5.0
2023-03-28,13.0
2023-04-04,9.0
2023-04-11,9.0
2023-04-18,15.0
2023-04-25,20.0
2023-05-02,11.0
2023-05-09,8.0
2023-05-16,10.0
2023-05-23,11.0
2023-05-30,13.0
2023-06-06,16.0
2023-06-13,18.0
2023-06-20,18.0
2023-06-27,12.0
2023-07-03,25.0
2023-07-10,14.0
2023-07-17,21.0
2023-07-25,20.0
2023-08-01,22.0
2023-08-08,16.0
2023-08-15,10.0
2023-08-22,9.0
2023-08-29,14.0
2023-09-05,33.0
2023-09-12,23.0
2023-09-19,31.0
2023-09-26,24.0
2023-10-03,26.0
2023-10-10,30.0
2023-10-17,20.0
2023-10-24,30.0
2023-10-31,22.0
2023-11-07,21.0
2023-11-14,17.0
2023-11-21,8.0
2023-11-28,7.0
2023-12-05,18.0
2023-12-12,11.0
2023-12-19,7.0
2023-12-27,31.0
2024-01-02,38.0
2024-01-09,12.0
2024-01-16,15.0
2024-01-22,10.0
2024-01-30,18.0
2024-02-06,17.0
2024-02-12,20.0
2024-02-20,17.0
2024-02-27,17.0
2024-03-05,23.0
2024-03-12,16.0
2024-03-19,10.0
2024-03-26,14.0
2024-04-02,9.0
2024-04-10,15.0
2024-04-16,13.0
2024-04-23,20.0
2024-04-30,17.0
2024-05-07,4.0
2024-05-14,11.0
2024-05-21,21.0
2024-05-28,25.0
2024-06-04,26.0
2024-06-11,20.0
2024-06-18,18.0
2024-06-25,15.0
2024-07-02,13.0
2024-07-09,11.0
2024-07-16,5.0
2024-07-22,14.0
2024-07-30,17.0
2024-08-06,16.0
2024-08-13,20.0
2024-08-20,13.0
2024-08-27,16.0
2024-09-10,17.0
2024-09-17,13.0
2024-09-24,19.0
2024-10-01,31.0
2024-10-08,18.0
2024-10-15,24.0
2024-10-22,23.0
2024-10-31,23.0
2024-11-05,27.0
2024-11-12,24.0
2024-11-19,19.0
2024-11-26,18.0
2024-12-03,14.0
2024-12-10,12.0
2024-12-17,13.0
2024-12-31,23.0
2025-01-07,19.0
2025-01-14,20.0
2025-01-21,21.0
2025-01-28,35.0
2025-02-04,36.0
2025-02-11,42.0
2025-02-18,37.0
2025-02-25,34.0
2025-03-04,17.0
2025-03-11,23.0
2025-03-18,16.0
2025-03-25,25.0
